id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
81051,Albert Andreyevich Mokeyev,M,28.0,185.0,80.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
81051,Albert Andreyevich Mokeyev,M,28.0,185.0,80.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
81102,Valter Molea,M,34.0,192.0,90.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Silver
81109,Kayla Moleschi,F,25.0,159.0,65.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
81111,Carlo Molfetta,M,28.0,183.0,78.0,Italy,ITA,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Heavyweight,Gold
81119,Alicia Molik,F,23.0,182.0,78.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Tennis,Tennis Women's Singles,Bronze
81121,Lars-Erik Molin,M,23.0,181.0,80.0,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
81121,Lars-Erik Molin,M,31.0,181.0,80.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
81180,"Robert ""Bob"" Molle",M,21.0,198.0,107.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
81184,Paula Mollenhauer,F,27.0,175.0,82.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's Discus Throw,Bronze
81187,David Mller,M,28.0,188.0,90.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Luge,Luge Men's Singles,Silver
81190,Frank Mller,M,25.0,189.0,125.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Heavyweight,Bronze
81198,Ivan Mauritz Mller,M,28.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
81220,"Arthur Owen ""Art"" Mollner",M,23.0,183.0,73.0,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
81225,Daniele Cristoforo Molmenti,M,27.0,170.0,69.0,Italy,ITA,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
81233,Endre Molnr,M,23.0,185.0,92.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Water Polo,Water Polo Men's Water Polo,Bronze
81233,Endre Molnr,M,27.0,185.0,92.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,Silver
81233,Endre Molnr,M,30.0,185.0,92.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Gold
81233,Endre Molnr,M,34.0,185.0,92.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Bronze
81244,Istvn Molnr,M,23.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Water Polo,Water Polo Men's Water Polo,Gold
81254,Tams Molnr,M,25.0,193.0,104.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
